screen_name,created_at,text,retweet_count,favorite_count,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
jairbolsonaro,2019-10-28T22:18:30Z,"- Há um ano 57 milhões de brasileiros me elegiam Presidente da República.
- Obrigado a vocês pela missão.
- DEUS SALVE A AMÉRICA DO SUL. https://t.co/mZQPW83cjd",592,3131,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188943147998633989
jairbolsonaro,2019-10-28T20:07:27Z,5- Academias Diplomáticas: intercâmbio de estudantes diplomatas.,49,326,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188910166693105666
jairbolsonaro,2019-10-28T20:05:20Z,"4- Defesa: cooperação entre as partes em assuntos de defesa, pesquisa e desenvolvimento, apoio logístico, medicina militar e fornecimento de produtos e serviços de defesa; troca de conhecimentos e experiências sobre organização e operações das Forças Armadas das partes.",93,585,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188909634008035328
jairbolsonaro,2019-10-28T20:02:09Z,3- Serviços aéreos: conclusão de acordo entre Brasil e Catar com o propósito de estabelecer e explorar serviços aéreos entre seus respectivos territórios.,52,347,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188908835794227201
jairbolsonaro,2019-10-28T19:57:42Z,"2- Isenção de visto para portadores de passaporte comum: O objetivo é isentar os nacionais de seus dois países titulares de passaporte comum da obrigação de visto de entrada para entrar no território um do outro, com os propósitos de turismo, trânsito e viagens de negócios.",29,207,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188907714518409216
jairbolsonaro,2019-10-28T19:56:05Z,"1- Cooperação entre os países no campo da saúde. Os países incentivarão, facilitarão e intensificarão a colaboração em áreas mutuamente acordadas, com base no interesse mútuo e de acordo com as leis e regulamentos aplicáveis em ambos os países e suas obrigações internacionais.",107,591,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188907305892569090
jairbolsonaro,2019-10-28T19:53:25Z,"Neste penúltimo destino visitado pela comitiva presidencial. Fomos recepcionado pelo emir Tamim bin Hamad Al-Thani, no Palácio Real, onde onde foram firmados atos de interesse mútuos. Saiba quais foram os acordos firmados:",325,1884,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188906635957288967
jairbolsonaro,2019-10-28T17:57:43Z,"- Chile, Argentina, Bolívia, Peru, Equador .....
- Mais que a vida, a nossa LIBERDADE.
- Brasil acima de tudo!
- Deus acima de todos! https://t.co/6G1lry1GT1",175,850,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188877520638267393
jairbolsonaro,2019-10-28T16:38:15Z,Essa é uma das medidas que o governo cria para incentivar o setor de aviação civil e a entrada de novas empresas no setor. Objetivo é atrair também empresas internacionais na concorrência de voos domésticos. Seguimos avançando! @AviacaoGovBr,118,665,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188857519139119109
jairbolsonaro,2019-10-28T16:37:40Z,Ministro @tarcisiogdf confirma fim da taxa adicional cobrada na tarifa de embarque internacional. Medida tem como objetivo incentivar o mercado aéreo brasileiro e baratear ainda mais as passagens internacionais. Taxa adicional foi criada em 1999 para reduzir dívida pública.,348,1678,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188857373517111296
jairbolsonaro,2019-10-28T15:34:49Z,"Porto do Itaqui/Maranhão é um dos principais portos do país. Entre janeiro e agosto de 2019, movimentou 18,20% a mais do que a carga movimentada no mesmo período de 2018. Confiança, reação nos investimentos e produtor, maior giro de insumos e geração de empregos. @portosdobrasil https://t.co/mcmGhTr6kB",12,114,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188841557207801857
jairbolsonaro,2019-10-28T15:27:05Z,"Porto do Itaqui/Maranhão é um dos principais portos do país. Entre janeiro e agosto de 2019, movimentou, 18,20% do que a carga movimentada no mesmo período de 2018. Confiança, reação nos investimentos, maior giro de insumos e geração de empregos. @portosdobrasil https://t.co/5ersOYopK6",161,774,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188839609716924419
jairbolsonaro,2019-10-28T12:23:09Z,"Contamos com a aprovação do Acordo de Salvaguardas Tecnológicas no Maranhão, pelo Congresso Nacional. Fora os bilhões de dólares que o Brasil conquistará, trabalho local, ampliações de aeroporto e porto beneficiarão diretamente a evolução daquela região! @MInfraestrutura https://t.co/fnMSPJfXUM",0,0,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188793323286388736
jairbolsonaro,2019-10-28T12:00:00Z,"Quando o assunto incomoda a imprensa, .... ela rapidamente muda de assunto. https://t.co/g5ALKt878o",337,1525,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188787495602925568
jairbolsonaro,2019-10-28T01:14:48Z,Agradeço aos Emirados Árabes Unidos pela maneira com que enxergam o atual Brasil. Temos tudo para sair da lama que enfiaram nosso país. Seguimos fortalecendo nossos laços com nações que tem algo a somar com nosso futuro! https://t.co/QKLvH4LRFj,232,1402,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188625128386682880
jairbolsonaro,2019-10-27T22:02:19Z,Falamos sobre o atual Brasil para empresários dos Emirados Árabes Unidos. https://t.co/OTVMTaJzJ6,180,947,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188576687451230210
jairbolsonaro,2019-10-27T21:18:47Z,"Mais informações sobre o assunto, identificado desde o dia 2 de setembro: https://t.co/gVnM4saawu https://t.co/dsqa9Xk8jL",157,685,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188565733057409024
jairbolsonaro,2019-10-27T21:14:18Z,"- Leilane Neubarth, âncora da Globo, é desmentida ao vivo ao criticar o Governo Jair Bolsonaro.
- Globo e Folha de São Paulo, juntas, campeãs em fakenews e desinformação. https://t.co/o4EolXTzfv",340,1285,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188564601702670338
jairbolsonaro,2019-10-27T20:36:21Z,Homenagem dos Emirados Árabes Unidos ao Brasil. https://t.co/IlWq0iSlEX,533,2432,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188555050760753153
jairbolsonaro,2019-10-27T15:32:14Z,29- Aprovada medida que permite que o dinheiro do leilão da cessão onerosa do petróleo seja divido entre os 27 Estados e mais de 5.000 municípios do Brasil. https://t.co/9koxgFhqli,35,161,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188478518440747008
jairbolsonaro,2019-10-27T15:30:52Z,"28- Apreensões recordes de drogas ganham um reforço de peso. As investigações que atualmente chegam a patamaraes positivos jamais vistos com a integração entre os agentes de segurança pública do Brasil, agora contam com agilidade na venda dos recursos oriundos dos criminosos. https://t.co/ZDd2CT6uQw",44,196,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188478173966721027
jairbolsonaro,2019-10-27T15:30:12Z,27- Niterói/RJ registra maior geração de empregos para setembro desde 2011. Os dados são do Cadastro Geral de Empregados e Desempregados ( Caged ). Assim como a região Nordeste foi a que mais gerou empregos no mês de setembro.,44,209,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188478006723055616
jairbolsonaro,2019-10-27T15:29:28Z,"26- Em nossa viagem à Ásia e Oriente Médio, o Presidente da Ucrânia demonstrou interesse em comprar aviões Super Tucano. O Ministro de Relações Exteriores, @ernestofaraujo , avaliou a possibilidade dos ucranianos adquirirem a aeronave KC-390, cargueiro militar fabricado no 🇧🇷. https://t.co/rToyjfVeLE",41,191,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188477825008984066
jairbolsonaro,2019-10-27T15:26:59Z,"25- O @MInfraestrutura com o Ministro @tarcisiogdf , trabalha na BR-135/MA, entre os municípios de Miranda do Norte e Alto Alegre. Serão investidos R$ 64 milhões em 5 anos. Muitas outras obras são realizadas dia e noite com o @exercitooficial . https://t.co/03tETIC3IF",20,76,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188477197218131973
jairbolsonaro,2019-10-27T15:25:51Z,"24- Violência em Paulista (PE) diminuí depois que o projeto piloto “Em Frente Brasil”, do Ministério da Justiça e Segurança Pública chegou na região. Está fase inicial está presente em mais 4 cidades no 🇧🇷: Ananindeua (PA), Cariacica (ES), São José dos Pinhais (PR) e Goiânia (GO)",52,189,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188476912521433089
jairbolsonaro,2019-10-27T15:24:51Z,"23- O @CAPES_Oficial e chineses celebram parceria científica inédita. O Brasil assinou acordo de cooperação internacional com a Fundação Nacional de Ciências Naturais da China (NSFC), agência de fomento à pesquisa e inovação. Detalhes: https://t.co/rwqW3h7y9N",57,182,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188476662683447296
jairbolsonaro,2019-10-27T15:24:11Z,22- Criação de vagas temporárias no fim do ano deve ser 24% maior em 2019. Novo decreto que regulamenta a contratação temporária fez com que essa estimativa aumentasse 10%. Para quem está desempregado e para o Brasil é excelente notícia. https://t.co/1xv5ar30cq,58,183,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188476493774630913
jairbolsonaro,2019-10-27T15:23:17Z,"21- Governo quer zerar imposto para importação de navios, reduzindo preço dos importados em até 40%. Texto precisa de autorização do Congresso. Somos um dos países com maior extensão marítima do mundo. Possibilidade para pequenas embarcações. Economia e empregabilidade gigantes.",63,243,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188476266061672449
jairbolsonaro,2019-10-27T15:21:27Z,"20- 60 mil pescadores afetados por manchas de óleo receberão seguro defeso e R$59,9 milhões serão utilizados em novembro. O @mdregional_br , @mmeioambiente , @marmilbr e @exercitooficial participam das operações.",16,76,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188475806819016705
jairbolsonaro,2019-10-27T15:20:15Z,19- Empresários do turismo no Nordeste terão acesso a uma linha de crédito especial de R$200 mi p/ superar retração nas atividades causada pelo vazamento de óleo que atingiu algumas praias da região. Os ingleses se juntaram a @marmilbr no trabalho técnico. https://t.co/YqrfYhs28g,29,149,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188475502421520384
jairbolsonaro,2019-10-27T15:19:03Z,"18- O governo trabalha, desde 2/set, no combate ao óleo no Nordeste. A narrativa inicial era a mentira, após gritavam que o Governo ignorava a situação, passaram a dizer que chegou tarde. Enquanto isso silêncio ensurdecedor quanto ao causador. Detalhes: https://t.co/xkrKk7CrJX",50,209,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188475200830169094
jairbolsonaro,2019-10-27T15:17:51Z,"17- Em 8 meses, quase 8 mil assassinatos a menos em relação ao mesmo período de 2018. Quase 8 mil vidas salvas. Queda de 22%, caminhando para a maior em décadas. Resultados do choque moral após nossa chegada e da Segurança Pública feita com inteligência e eficiência. @SF_Moro",55,280,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188474898664054784
jairbolsonaro,2019-10-27T15:16:55Z,16- Pequenos produtores do Rio Grande do Norte e região têm em novembro a oportunidade de vender seus produtos ao governo federal. O 16º Batalhão de Infantaria Motorizado do @exercitooficial em Natal-RN está investindo na compra de produtos da agricultura familiar.,0,0,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188474664517033987
jairbolsonaro,2019-10-27T15:15:54Z,"15- Programa Criança Feliz é reconhecido como referência para diminuição de desigualdade social no mundo. O Brasil assumiu papel de liderança no Fórum de Desenvolvimento Sustentável, realizado em Pequim. https://t.co/JUCOcyOlYM",5,34,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188474410614841344
jairbolsonaro,2019-10-27T15:15:06Z,"14- CHINA: Encontro com empresários chineses e presidente da @Fiesp . Oportunidade de bilhões de dólares de investimento na área de agricultura, infraestrutura e outros. https://t.co/HooYkjxP7V / https://t.co/eR3Z2NYG8k",16,95,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188474206574522371
jairbolsonaro,2019-10-27T15:14:12Z,"13- JAPÃO: nos reunimos com empresários de grandes corporações como o chamado 'Grupo de Notáveis', entre outros importantes compromissos mostrando o novo Brasil: crescendo, gerando empregos e oportunidades com liberdade e segurança ao investidor! https://t.co/WXa6wCkbjL",28,145,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188473982191919105
jairbolsonaro,2019-10-27T15:13:32Z,"12- Nova previdência APROVADA. Uma das maiores reformas da história. Parabéns povo brasileiro e ao @MinEconomia ! Essa vitória, que abre o caminho para nosso país decolar de vez, é de todos vocês! O Brasil é nosso!",31,193,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188473812314140675
jairbolsonaro,2019-10-27T15:12:46Z,"11- Junto com o Ministro @SF_Moro ,o combate à violência traz a confiança do investidor e gera ambiente favorável à empregabilidade e economia. Veja os números, intenções e acordos para que desenvolvamos sempre mais! https://t.co/WkqGsI1HkB",33,172,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188473620714012672
jairbolsonaro,2019-10-27T15:10:37Z,10- Ferrovias ganhando importância que não existia há décadas no Brasil. Entenda e saiba mais no desenvolvimento deste modal nas redes sociais do @MInfraestrutura . https://t.co/ab7yLgQPgm,1,5,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188473080169029634
jairbolsonaro,2019-10-27T15:08:44Z,"9- Famílias em vulnerabilidade e pessoas com deficiência atendidas pela rede de assistência social em SP ganham um reforço na promoção da inclusão. O Ministério da Cidadania entregou 19 micro-ônibus que irão apoiar os municípios. No total, estão sendo investidos R$ 5,3mi na ação. https://t.co/YFlo1hnbLr",27,110,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188472603238899713
